Category:,Congress,Bill Type,Bill Number,Vote Position
passage,118,sjres,57,Yea
passage,118,s,3853,Yea
passage,118,hjres,109,Yea
passage,118,hr,2882,Not Voting
passage,118,sjres,58,Yea
passage,118,hjres,98,Yea
passage,118,hr,2882,Nay
passage,118,s,870,Not Voting
passage,118,hr,2882,Yea
passage,118,hr,815,Nay
passage,118,hr,3935,Yea
passage,118,sjres,62,Yea
passage,118,hr,2872,Nay
passage,118,hr,815,Nay
passage,118,hr,6363,Yea
passage,118,s,870,Yea
passage,118,sres,13,Yea
passage,118,hjres,42,Yea
passage,118,hjres,30,Yea
passage,118,sjres,9,Yea
passage,118,sres,21,Yea
passage,118,sres,417,Yea
passage,118,sjres,32,Yea
veto-override,118,sjres,9,Yea
veto-override,118,sjres,24,Yea
passage,118,sjres,42,Yea
passage,118,hjres,45,Yea
veto-override,118,sjres,11,Yea
passage,118,hjres,7,Yea
passage,118,hr,3746,Nay
passage,118,sjres,24,Yea
passage,118,sjres,11,Yea
passage,118,hjres,44,Yea
passage,118,hr,2670,Yea
passage,118,sjres,23,Yea
passage,118,sjres,43,Yea
passage,118,s,2226,Yea
passage,118,hr,4366,Yea
passage,118,hr,5860,Nay
passage,118,hr,662,Yea
passage,118,hjres,39,Yea
passage,118,sjres,38,Yea
passage,118,hjres,26,Yea
passage,118,sjres,18,Yea
passage,118,s,316,Yea
passage,118,hjres,27,Yea
passage,119,sconres,7,Yea
passage,119,s,5,Yea
